state,dwelltime,ageSplit,sex,age
1,2.071428571,1,1,71
1,2.358490566,0,1,24
1,1.5,0,0,41
1,1.814814815,0,1,40
1,2.096774194,0,0,22
1,1.473684211,1,1,63
1,2.137931034,1,0,75
1,1.586206897,1,1,78
1,1.916666667,1,0,77
2,2.181818182,1,1,71
2,2.840909091,0,1,24
2,3.083333333,0,0,41
2,1.4,0,1,40
2,2.6,0,0,22
2,2.96,1,1,63
2,2.523809524,1,0,75
2,2.318181818,1,1,78
2,2.038461538,1,0,77
3,2,1,1,71
3,1.8,0,1,24
3,2.324324324,0,0,41
3,2.5,0,1,40
3,1.631578947,0,0,22
3,1.897435897,1,1,63
3,2.083333333,1,0,75
3,2.24137931,1,1,78
3,2.216216216,1,0,77
4,1.918918919,1,1,71
4,2.405405405,0,1,24
4,2.545454545,0,0,41
4,2.632653061,0,1,40
4,2.523809524,0,0,22
4,2.128205128,1,1,63
4,2.188679245,1,0,75
4,2.219512195,1,1,78
4,1.913043478,1,0,77
5,1.947368421,1,1,71
5,1.80952381,0,1,24
5,2.966666667,0,0,41
5,1.939393939,0,1,40
5,1.65,0,0,22
5,1.833333333,1,1,63
5,2.244444444,1,0,75
5,2.615384615,1,1,78
5,1.93877551,1,0,77
6,3.103448276,1,1,71
6,2.068965517,0,1,24
6,2.705882353,0,0,41
6,2.571428571,0,1,40
6,2.655172414,0,0,22
6,2.21875,1,1,63
6,2.344827586,1,0,75
6,2.305555556,1,1,78
6,2.333333333,1,0,77
7,2.029411765,1,1,71
7,1.8125,0,1,24
7,3.461538462,0,0,41
7,2.368421053,0,1,40
7,2.222222222,0,0,22
7,2.317073171,1,1,63
7,2.260869565,1,0,75
7,2,1,1,78
7,1.942857143,1,0,77
